"","awards","person","detail","result","year","url","X","Awardee","Gender"
"167","Best Documentary – Feature","13th "," Ava DuVernay, Spencer Averick, and Howard Barish","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
"168","Best Documentary – Short Subject","The White Helmets "," Orlando von Einsiedel and Joanna Natasegara","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
"169","Best Documentary – Short Subject","Extremis "," Dan Krauss","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
"170","Best Documentary – Short Subject","4.1 Miles "," Daphne Matziaraki","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
"171","Best Documentary – Short Subject","Joe's Violin "," Kahane Cooperman and Raphaela Neihausen","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
"172","Best Documentary – Short Subject","Watani: My Homeland "," Marcel Mettelsiefen and Stephen Ellis","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
"173","Best Film Editing","Hacksaw Ridge "," John Gilbert","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",11,"Film",""
"174","Best Film Editing","Arrival "," Joe Walker","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",11,"Film",""
"175","Best Film Editing","Hell or High Water "," Jake Roberts","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",11,"Film",""
"176","Best Film Editing","La La Land "," Tom Cross","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",11,"Film",""
"177","Best Film Editing","Moonlight "," Nat Sanders and Joi McMillon","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",11,"Film",""
"178","Best Foreign Language Film","The Salesman (Iran) in Persian "," Directed by Asghar Farhadi","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",12,"Film",""
"179","Best Foreign Language Film","Land of Mine (Denmark) in Danish "," Directed by Martin Zandvliet","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",12,"Film",""
"180","Best Foreign Language Film","A Man Called Ove (Sweden) in Swedish "," Directed by Hannes Holm","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",12,"Film",""
"181","Best Foreign Language Film","Tanna (Australia) in Nauvhal "," Directed by Martin Butler and Bentley Dean","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",12,"Film",""
"182","Best Foreign Language Film","Toni Erdmann (Germany) in German "," Directed by Maren Ade","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",12,"Film",""
"183","Best Live Action Short Film","Sing "," Kristóf Deák and Anna Udvardy","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",13,"Film",""
"184","Best Live Action Short Film","Ennemis intérieurs "," Sélim Azzazi","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",13,"Film",""
"185","Best Live Action Short Film","La femme et le TGV "," Timo von Gunten and Giacun Caduff","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",13,"Film",""
"186","Best Live Action Short Film","Silent Nights "," Aske Bang and Kim Magnusson","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",13,"Film",""
"187","Best Live Action Short Film","Timecode "," Juanjo Giménez","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",13,"Film",""
"188","Best Makeup and Hairstyling","Suicide Squad "," Alessandro Bertolazzi, Giorgio Gregorini, and Christopher Nelson","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",14,"Film",""
"189","Best Makeup and Hairstyling","A Man Called Ove "," Eva von Bahr and Love Larson","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",14,"Film",""
"190","Best Makeup and Hairstyling","Star Trek Beyond "," Joel Harlow and Richard Alonzo","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",14,"Film",""
"191","Best Original Score","La La Land "," Justin Hurwitz","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",15,"Film",""
"192","Best Original Score","Jackie "," Mica Levi","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",15,"Film",""
"193","Best Original Score","Lion "," Dustin O'Halloran and Hauschka","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",15,"Film",""
"194","Best Original Score","Moonlight "," Nicholas Britell","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",15,"Film",""
"195","Best Original Score","Passengers "," Thomas Newman","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",15,"Film",""
"196","Best Original Screenplay","Manchester by the Sea "," Written by Kenneth Lonergan","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",16,"Film",""
"197","Best Original Screenplay","Hell or High Water "," Written by Taylor Sheridan","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",16,"Film",""
"198","Best Original Screenplay","La La Land "," Written by Damien Chazelle","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",16,"Film",""
"199","Best Original Screenplay","The Lobster "," Written by Yorgos Lanthimos and Efthimis Filippou","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",16,"Film",""
"200","Best Original Screenplay","20th Century Women "," Written by Mike Mills","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",16,"Film",""
"201","Best Original Song","""City of Stars"" from La La Land "," Music by Justin Hurwitz; Lyrics by Benj Pasek and Justin Paul","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",17,"Film",""
"202","Best Original Song","""Audition (The Fools Who Dream)"" from La La Land "," Music by Justin Hurwitz; Lyrics by Benj Pasek and Justin Paul","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",17,"Film",""
"203","Best Original Song","""Can't Stop the Feeling!"" from Trolls "," Music and Lyrics by Justin Timberlake, Max Martin, and Karl Johan Schuster","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",17,"Film",""
"204","Best Original Song","""The Empty Chair"" from Jim: The James Foley Story "," Music and Lyrics by J. Ralph and Sting","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",17,"Film",""
"205","Best Original Song","""How Far I'll Go"" from Moana "," Music and Lyrics by Lin-Manuel Miranda","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",17,"Film",""
"206","Best Picture","Moonlight "," Adele Romanski, Dede Gardner, and Jeremy Kleiner","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",18,"Film",""
"207","Best Picture","Arrival "," Shawn Levy, Dan Levine, Aaron Ryder, and David Linde","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",18,"Film",""
"208","Best Picture","Fences "," Scott Rudin, Denzel Washington, and Todd Black","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",18,"Film",""
"209","Best Picture","Hacksaw Ridge "," Bill Mechanic and David Permut","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",18,"Film",""
"210","Best Picture","Hell or High Water "," Carla Hacken and Julie Yorn","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",18,"Film",""
"211","Best Picture","Hidden Figures "," Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",18,"Film",""
"212","Best Picture","La La Land "," Fred Berger, Jordan Horowitz, and Marc Platt","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",18,"Film",""
"213","Best Picture","Lion "," Emile Sherman, Iain Canning, and Angie Fielder","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",18,"Film",""
"214","Best Picture","Manchester by the Sea "," Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",18,"Film",""
"215","Best Production Design","La La Land "," Production Design: David Wasco; Set Decoration: Sandy Reynolds-Wasco","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",19,"Film",""
"216","Best Production Design","Arrival "," Production Design: Patrice Vermette; Set Decoration: Paul Hotte","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",19,"Film",""
"217","Best Production Design","Fantastic Beasts and Where to Find Them "," Production Design: Stuart Craig; Set Decoration: Anna Pinnock","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",19,"Film",""
"218","Best Production Design","Hail, Caesar! "," Production Design: Jess Gonchor; Set Decoration: Nancy Haigh","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",19,"Film",""
"219","Best Production Design","Passengers "," Production Design: Guy Hendrix Dyas; Set Decoration: Gene Serdena","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",19,"Film",""
"220","Best Sound Editing","Arrival "," Sylvain Bellemare","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",20,"Film",""
"221","Best Sound Editing","Deepwater Horizon "," Wylie Stateman and Renée Tondelli","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",20,"Film",""
"222","Best Sound Editing","Hacksaw Ridge "," Robert Mackenzie and Andy Wright","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",20,"Film",""
"223","Best Sound Editing","La La Land "," Ai-Ling Lee and Mildred Iatrou Morgan","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",20,"Film",""
"224","Best Sound Editing","Sully "," Alan Robert Murray and Bub Asman","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",20,"Film",""
"225","Best Sound Mixing","Hacksaw Ridge "," Kevin O'Connell, Andy Wright, Robert Mackenzie, and Peter Grace","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",21,"Film",""
"226","Best Sound Mixing","Arrival "," Bernard Gariépy Strobl and Claude La Haye","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",21,"Film",""
"227","Best Sound Mixing","La La Land "," Andy Nelson, Ai-Ling Lee, and Steve A. Morrow","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",21,"Film",""
"228","Best Sound Mixing","Rogue One: A Star Wars Story "," David Parker, Christopher Scarabosio, and Stuart Wilson","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",21,"Film",""
"229","Best Sound Mixing","13 Hours: The Secret Soldiers of Benghazi "," Greg P. Russell,[m 1]Gary Summers, Jeffrey J. Haboush, and Mac Ruth","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",21,"Film",""
"230","Best Supporting Actor","Mahershala Ali "," Moonlight as Juan","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",22,"Person","Male"
"231","Best Supporting Actor","Jeff Bridges "," Hell or High Water as Marcus Hamilton","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",22,"Person","Male"
"232","Best Supporting Actor","Lucas Hedges "," Manchester by the Sea as Patrick Chandler","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",22,"Person","Male"
"233","Best Supporting Actor","Dev Patel "," Lion as Saroo Brierley","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",22,"Person","Male"
"234","Best Supporting Actor","Michael Shannon "," Nocturnal Animals as Detective Bobby Andes","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",22,"Person","Male"
"235","Best Supporting Actress","Viola Davis "," Fences as Rose Maxson","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",23,"Person","Female"
"236","Best Supporting Actress","Naomie Harris "," Moonlight as Paula","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",23,"Person","Female"
"237","Best Supporting Actress","Nicole Kidman "," Lion as Sue Brierley","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",23,"Person","Female"
"238","Best Supporting Actress","Octavia Spencer "," Hidden Figures as Dorothy Vaughan","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",23,"Person","Female"
"239","Best Supporting Actress","Michelle Williams "," Manchester by the Sea as Randi Chandler","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",23,"Person","Female"
"240","Best Visual Effects","The Jungle Book "," Robert Legato, Adam Valdez, Andrew R. Jones, and Dan Lemmon","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",24,"Film",""
"241","Best Visual Effects","Deepwater Horizon "," Craig Hammack, Jason Snell, Jason Billington, and Burt Dalton","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",24,"Film",""
"242","Best Visual Effects","Doctor Strange "," Stephane Ceretti, Richard Bluff, Vincent Cirelli, and Paul Corbould","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",24,"Film",""
"243","Best Visual Effects","Kubo and the Two Strings "," Steve Emerson, Oliver Jones, Brian McLean, and Brad Schiff","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",24,"Film",""
"244","Best Visual Effects","Rogue One: A Star Wars Story "," John Knoll, Mohen Leo, Hal Hickel, and Neil Corbould","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",24,"Film",""
"245","Best Actor","Leonardo DiCaprio "," The Revenant as Hugh Glass","winner",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",1,"Person","Male"
"246","Best Actor","Bryan Cranston "," Trumbo as Dalton Trumbo","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",1,"Person","Male"
"247","Best Actor","Matt Damon "," The Martian as Mark Watney","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",1,"Person","Male"
"248","Best Actor","Michael Fassbender "," Steve Jobs as Steve Jobs","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",1,"Person","Male"
"249","Best Actor","Eddie Redmayne "," The Danish Girl as Lili Elbe","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",1,"Person","Male"
"250","Best Actress","Brie Larson "," Room as Joy ""Ma"" Newsome","winner",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",2,"Person","Female"
"251","Best Actress","Cate Blanchett "," Carol as Carol Aird","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",2,"Person","Female"
"252","Best Actress","Jennifer Lawrence "," Joy as Joy Mangano","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",2,"Person","Female"
"253","Best Actress","Charlotte Rampling "," 45 Years as Kate Mercer","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",2,"Person","Female"
"254","Best Actress","Saoirse Ronan "," Brooklyn as Eilis Lacey","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",2,"Person","Female"
"255","Best Adapted Screenplay","The Big Short "," Adam McKay and Charles Randolph based on the book by Michael Lewis","winner",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",3,"Film",""
"256","Best Adapted Screenplay","Brooklyn "," Nick Hornby based on the novel by Colm Tóibín","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",3,"Film",""
"257","Best Adapted Screenplay","Carol "," Phyllis Nagy based on the novel The Price of Salt by Patricia Highsmith","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",3,"Film",""
"258","Best Adapted Screenplay","The Martian "," Drew Goddard based on the novel by Andy Weir","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",3,"Film",""
"259","Best Adapted Screenplay","Room "," Emma Donoghue based on her novel","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",3,"Film",""
"260","Best Animated Feature Film","Inside Out "," Pete Docter and Jonas Rivera","winner",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",4,"Film",""
"261","Best Animated Feature Film","Anomalisa "," Charlie Kaufman, Duke Johnson, and Rosa Tran","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",4,"Film",""
"262","Best Animated Feature Film","Boy and the World "," Alê Abreu","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",4,"Film",""
"263","Best Animated Feature Film","Shaun the Sheep Movie "," Mark Burton and Richard Starzak","nominated",2016,"https://en.wikipedia.org/wiki/88th_Academy_Awards",4,"Film",""
